from,to,title
Glenn Vian,Garry Vian,Glenn and Garry Vian are brothers.
Glenn Vian,Jonathan Rees,Jonathan Rees is a former brother-in-law to Glenn and Garry Vian.
Garry Vian,Jonathan Rees,Jonathan Rees is a former brother-in-law to Glenn and Garry Vian.
Daniel Morgan,Jonathan Rees,"Daniel Morgan and Jonathan Rees were business partners in their investigation agency, Southern Investigations."
Daniel Morgan,Southern Investigations,"Daniel Morgan and Jonathan Rees were business partners in their investigation agency, Southern Investigations."
Jonathan Rees,Southern Investigations,"Daniel Morgan and Jonathan Rees were business partners in their investigation agency, Southern Investigations."
Sid Fillery,Daniel Morgan,"Sid Fillery was one of the detectives assigned to the first investigation into Daniel Morgan's murder. Fillery later took Morgan's place in the private investigations agency, Southern Investigations."
Sid Fillery,Jonathan Rees,"Sid Fillery and Jonathan Rees were close friends, drinking partners, and business partners."
Sid Fillery,Southern Investigations,"After Daniel Morgan was murdered, Sid Fillery took his place in the private investigations agency, Southern Investigations."
Dave Cook,Daniel Morgan,Dave Cook was the detective who ran the 4th and 5th investigations into Daniel Morgan's murder.
Daniel Morgan,Margaret Harrison,Daniel Morgan was having an affair with Margaret Harrison around the time of his death.
Jonathan Rees,Margaret Harrison,Jonathan Rees was having an affair with Margaret Harrison around the time of Daniel Morgan's murder. Rees later divorced his wife and married Harrison.
News of the World,Alex Marunchak,Alex Marunchak was the crime editor of the News of the World.
News of the World,Southern Investigations,News of the World was one of the biggest clients of Southern Investigations.
Crimewatch,Jill Dando,Jill Dando was a presenter on TV show Crimewatch in the 1990s.
Crimewatch,Jacqui Hames,Jacqui Hames was a presenter on TV show Crimewatch in the 1990s and 2000s.
Crimewatch,Dave Cook,Dave Cook appeared on Crimewatch to make an appeal for information.
Jacqui Hames,Dave Cook,Dave Cook and Jacqui Hames were married.
Rupert Murdoch,Rebekah Brooks,"Rebekah Brooks is a protégé of Rupert Murdoch. She has worked for various Murdoch-owned newspapers, and is now CEO of Murdoch's subsidiary, News UK."
News of the World,Rebekah Brooks,Rebekah Brooks was the editor of the News of the World from 2000 - 2003.
Dean Vian,Garry Vian,"Dean Vian, a former Metropolitan police officer, is the son of career criminal Garry Vian."
Dean Vian,Glenn Vian,"Dean Vian, a former Metropolitan police officer, is the nephew of career criminal Glenn Vian. Dean said that his mother had told him that Glenn was responsible for killing Daniel Morgan."
Alex Marunchak,Jonathan Rees,"Marunchak and Rees were close friends, with Marunchak and News of the World being one of Rees' biggest clients."
News of the World,Dave Cook,"News of the World attempted to interfere with the investigation into Daniel Morgan's murder due to its association with one of the prime suspects, Jonathan Rees. Vans leased by News International were detected surveilling lead detective Dave Cook and his wife Jacqui Hames, on the pretext that they received a tip that the two were having an affair."
News of the World,Jacqui Hames,"News of the World attempted to interfere with the investigation into Daniel Morgan's murder due to its association with one of the prime suspects, Jonathan Rees. Vans leased by News International were detected surveilling lead detective Dave Cook and his wife Jacqui Hames, on the pretext that they received a tip that the two were having an affair."
Jonathan Rees,Derek Haslam,Derek Haslam worked undercover for nine years to get information from murder suspect Jonathan Rees. The operation was cut short when the operation uncovered evidence that Rees was planning to falsely incriminate a woman for drug-dealing so that her ex-husband would obtain custody of their son.
Daniel Morgan,Derek Haslam,Daniel Morgan and Derek Haslam knew each other and were friends.
Daniel Morgan,Golden Lion,"Daniel Morgan was murdered in the carpack of the Golden Lion pub in Sydenham, London, in 1987."
Jonathan Rees,Golden Lion,"Jonathan Rees had been drinking with Daniel Morgan in the Golden Lion pub on the evening that Morgan was murdered, in 1987."
Alan Holmes,Daniel Morgan,Daniel Morgan and Alan Holmes may have worked together on unveiling police corruption.
